SUBJECT;LABEL;ACURCY;DICE;HDRFDST
117122;Amygdala;0.9992940869174503;0.4033515198752923;13.892443989449804
117122;GreyMatter;0.9411854752043419;0.5711574553850214;3.605551275463989
117122;Hippocampus;0.9972755950839217;0.36250842886041806;54.48853090330111
117122;Thalamus;0.9964779271330327;0.4659617233243031;47.634021455258214
117122;WhiteMatter;0.9586138283116562;0.5878893269743978;5.385164807134504
118528;Amygdala;0.9992414085571097;0.3888940477295942;14.247806848775006
118528;GreyMatter;0.940340431310127;0.5956487024076825;4.123105625617661
118528;Hippocampus;0.9969873049762377;0.36572343833422316;47.16990566028302
118528;Thalamus;0.9960341378828993;0.4538108618691559;45.83666654546336
118528;WhiteMatter;0.9608562896290832;0.6333608650352783;5.744562646538029
118730;Amygdala;0.9993058444508304;0.45452898550724635;12.165525060596439
118730;GreyMatter;0.9323849614692952;0.5602894722244294;3.605551275463989
118730;Hippocampus;0.9968754931391911;0.31220502410555695;50.91168824543142
118730;Thalamus;0.996716766438559;0.47192094480597735;44.553338819890925
118730;WhiteMatter;0.9581201271796248;0.5354130542640417;5.385164807134504
118932;Amygdala;0.9992989282547244;0.4325433849598806;13.0
118932;GreyMatter;0.9331426307527046;0.5568714277965087;4.58257569495584
118932;Hippocampus;0.9967798190930585;0.32560834298957125;49.193495504995376
118932;Thalamus;0.9964541815264022;0.4549690816633888;46.400431032480725
118932;WhiteMatter;0.9550488750288318;0.548173758290039;5.744562646538029
120111;Amygdala;0.9992713787402356;0.43788350377945756;10.816653826391969
120111;GreyMatter;0.9415847702595268;0.5740739028664361;3.605551275463989
120111;Hippocampus;0.9970970419544525;0.3498889978832154;51.633322573702344
120111;Thalamus;0.9958641147286275;0.43814594425305353;47.8748368143433
120111;WhiteMatter;0.9586988975237597;0.6302143483012828;5.0990195135927845
122317;Amygdala;0.9993693581850702;0.46660817003022326;13.74772708486752
122317;GreyMatter;0.9409162046359493;0.5759010166249244;4.123105625617661
122317;Hippocampus;0.997351212161347;0.3337295949433153;56.0357029044876
122317;Thalamus;0.9966250115702198;0.48095162119519935;46.61544808322666
122317;WhiteMatter;0.9582770095612954;0.6090509555034471;5.916079783099616
122620;Amygdala;0.999355179983053;0.481653076352854;14.035668847618199
122620;GreyMatter;0.9406898144834137;0.592873810053196;4.0
122620;Hippocampus;0.9971417666892711;0.3628982528263104;48.79549159502341
122620;Thalamus;0.9963782186391715;0.4656280825878431;45.0
122620;WhiteMatter;0.9612122431886707;0.5970105281815383;5.744562646538029
123117;Amygdala;0.9992241180668449;0.39680974997759655;13.038404810405298
123117;GreyMatter;0.925349460980493;0.4863683770140103;6.4031242374328485
123117;Hippocampus;0.9967284087020041;0.3178059801942121;46.4327470649756
123117;Thalamus;0.9972893122061985;0.4918535805350274;43.749285708454714
123117;WhiteMatter;0.9467018332184668;0.4404281711958659;6.4031242374328485
123925;Amygdala;0.9993080345795973;0.4336258137560147;12.041594578792296
123925;GreyMatter;0.9428265732703545;0.5763607385731783;4.0
123925;Hippocampus;0.9970205027175464;0.35042219541616404;50.774009099144415
123925;Thalamus;0.9965121623037573;0.5092130020112892;43.243496620879306
123925;WhiteMatter;0.9597246846762107;0.6262182141061438;5.916079783099616
124422;Amygdala;0.9993997894479365;0.5266793927824743;11.832159566199232
124422;GreyMatter;0.945587057676119;0.5932682398921926;3.4641016151377544
124422;Hippocampus;0.9973544397195298;0.36580176296664735;51.41011573610781
124422;Thalamus;0.9967941125650108;0.520978298312091;47.18050444834179
124422;WhiteMatter;0.9611682100734626;0.6161387692128883;5.385164807134504
