LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9992709407144822
Amygdala;ACURCY;STD;5.660124261465192e-05
Amygdala;DICE;MEAN;0.4536149962599395
Amygdala;DICE;STD;0.0405428864762789
Amygdala;HDRFDST;MEAN;11.804421404761323
Amygdala;HDRFDST;STD;1.2064971192724407
GreyMatter;ACURCY;MEAN;0.9382240291937247
GreyMatter;ACURCY;STD;0.006610189770842855
GreyMatter;DICE;MEAN;0.6167032039705017
GreyMatter;DICE;STD;0.02512432832696905
GreyMatter;HDRFDST;MEAN;4.7572351774178845
GreyMatter;HDRFDST;STD;0.7541309347439781
Hippocampus;ACURCY;MEAN;0.9976145348010885
Hippocampus;ACURCY;STD;0.000358308412650827
Hippocampus;DICE;MEAN;0.4255747292957922
Hippocampus;DICE;STD;0.03496782830689316
Hippocampus;HDRFDST;MEAN;13.984921068023954
Hippocampus;HDRFDST;STD;1.312243392492301
Thalamus;ACURCY;MEAN;0.9983565734812985
Thalamus;ACURCY;STD;0.00021695312002064984
Thalamus;DICE;MEAN;0.6873056993161379
Thalamus;DICE;STD;0.034016216481243686
Thalamus;HDRFDST;MEAN;14.967392140824137
Thalamus;HDRFDST;STD;0.7597186997802748
WhiteMatter;ACURCY;MEAN;0.9669821258980538
WhiteMatter;ACURCY;STD;0.004773429018932847
WhiteMatter;DICE;MEAN;0.711718100277327
WhiteMatter;DICE;STD;0.059473235869867774
WhiteMatter;HDRFDST;MEAN;5.169491536158764
WhiteMatter;HDRFDST;STD;0.27632817008568883
