LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9994294829832182
Amygdala;ACURCY;STD;5.3551742162763675e-05
Amygdala;DICE;MEAN;0.5438362343019727
Amygdala;DICE;STD;0.04336143492720626
Amygdala;HDRFDST;MEAN;12.505264290168052
Amygdala;HDRFDST;STD;1.1909513143062236
GreyMatter;ACURCY;MEAN;0.9544586353261545
GreyMatter;ACURCY;STD;0.001541644989794768
GreyMatter;DICE;MEAN;0.7094764903204627
GreyMatter;DICE;STD;0.008887598452968585
GreyMatter;HDRFDST;MEAN;2.525802711796252
GreyMatter;HDRFDST;STD;0.46938327737862684
Hippocampus;ACURCY;MEAN;0.9982189872867634
Hippocampus;ACURCY;STD;0.0001429187834961581
Hippocampus;DICE;MEAN;0.525010382150631
Hippocampus;DICE;STD;0.01609886142800784
Hippocampus;HDRFDST;MEAN;12.523651868957552
Hippocampus;HDRFDST;STD;0.870714571576704
Thalamus;ACURCY;MEAN;0.9986211756173194
Thalamus;ACURCY;STD;0.00016636235334625666
Thalamus;DICE;MEAN;0.7398385543993096
Thalamus;DICE;STD;0.023399397000883653
Thalamus;HDRFDST;MEAN;17.026866042285313
Thalamus;HDRFDST;STD;0.8864720966117928
WhiteMatter;ACURCY;MEAN;0.9753990097620955
WhiteMatter;ACURCY;STD;0.001629036402873042
WhiteMatter;DICE;MEAN;0.8086134464884106
WhiteMatter;DICE;STD;0.017746057784189542
WhiteMatter;HDRFDST;MEAN;3.2448538721998696
WhiteMatter;HDRFDST;STD;0.26631437826282
