SUBJECT;LABEL;ACURCY;DICE;HDRFDST
117122;Amygdala;0.99923599087016;0.4022366522366522;19.28730152198591
117122;GreyMatter;0.9196910904063254;0.46716954061447696;3.1622776601683795
117122;Hippocampus;0.9975129358802917;0.42723652774090787;11.40175425099138
117122;Thalamus;0.9979117698557363;0.6288313391247337;34.77067730142742
117122;WhiteMatter;0.9493528111858868;0.4906795938688524;4.58257569495584
118528;Amygdala;0.9992704565807549;0.4265651898160732;14.45683229480096
118528;GreyMatter;0.9187828785876758;0.5013559840226016;3.1622776601683795
118528;Hippocampus;0.9976045754786959;0.4678497349619728;12.165525060596439
118528;Thalamus;0.9981062302362492;0.6726703990755315;23.194827009486403
118528;WhiteMatter;0.9496417929131813;0.5286110128013674;4.358898943540674
118730;Amygdala;0.9993927579818954;0.5048872180451128;19.467922333931785
118730;GreyMatter;0.9189746877596815;0.483984777610402;3.0
118730;Hippocampus;0.9974676347957976;0.406996517936675;11.0
118730;Thalamus;0.997927792376715;0.6291490458999485;30.870698080866262
118730;WhiteMatter;0.9496663454093576;0.4602571281302031;4.123105625617661
118932;Amygdala;0.999322673861355;0.4596284715835939;18.411952639521967
118932;GreyMatter;0.9202979866146246;0.4953972306026147;3.3166247903554
118932;Hippocampus;0.9975800229825197;0.4420051031256645;10.63014581273465
118932;Thalamus;0.9980042163436861;0.6574334217086779;32.95451410656816
118932;WhiteMatter;0.947589872798474;0.47895110192284995;4.47213595499958
120111;Amygdala;0.9992656152434807;0.4607702073635209;17.46424919657298
120111;GreyMatter;0.9202711287197464;0.4781160989485677;3.4641016151377544
120111;Hippocampus;0.9976223270487012;0.445823594207571;9.643650760992955
120111;Thalamus;0.9980080202515443;0.6502600635486026;28.74021572639983
120111;WhiteMatter;0.9470894860102067;0.5205989927663832;4.242640687119285
122317;Amygdala;0.9993607129399378;0.4849554234769688;19.87460691435179
122317;GreyMatter;0.9215633046922126;0.4906587981852791;3.605551275463989
122317;Hippocampus;0.9974857321756082;0.3999449793672627;10.488088481701515
122317;Thalamus;0.9980021414848543;0.6370413804657397;30.23243291566195
122317;WhiteMatter;0.9500921525496153;0.5198938580256839;4.47213595499958
122620;Amygdala;0.9993850348962438;0.510415710746077;17.69180601295413
122620;GreyMatter;0.9210681050510248;0.49106974967353734;3.1622776601683795
122620;Hippocampus;0.997645265765786;0.45877490462060194;12.12435565298214
122620;Thalamus;0.998001795675049;0.6518447108915266;31.38470965295043
122620;WhiteMatter;0.9506177834536694;0.47516174360896823;4.58257569495584
123117;Amygdala;0.999327399928694;0.45665331967594747;17.916472867168917
123117;GreyMatter;0.9225923194028464;0.4547457855566508;3.605551275463989
123117;Hippocampus;0.9975678043693991;0.4430366381585894;10.63014581273465
123117;Thalamus;0.99788721735956;0.6260990187878664;34.292856398964496
123117;WhiteMatter;0.94594716095337;0.4394441827827679;5.0990195135927845
123925;Amygdala;0.9992875165311496;0.4596555642975785;12.529964086141668
123925;GreyMatter;0.9227909295010229;0.47756930984591744;3.605551275463989
123925;Hippocampus;0.9975325317692586;0.4450953961012028;10.04987562112089
123925;Thalamus;0.9981983309143937;0.6920197044334976;27.85677655436824
123925;WhiteMatter;0.9497046150278106;0.5198797958157412;4.58257569495584
124422;Amygdala;0.9992789865559522;0.49907904220389204;17.11724276862369
124422;GreyMatter;0.9211789947285905;0.47580827535981907;3.0
124422;Hippocampus;0.9975702250380362;0.44649843762308644;9.643650760992955
124422;Thalamus;0.9981162587206028;0.6707896857373086;27.622454633866266
124422;WhiteMatter;0.9508246929871731;0.49122242098986285;4.242640687119285
