SUBJECT;LABEL;ACURCY;DICE;HDRFDST
117122;Amygdala;0.9991767421235189;0.4123745269047227;12.727922061357855
117122;GreyMatter;0.9295175065637583;0.5639123054759154;2.23606797749979
117122;Hippocampus;0.9976623257161807;0.4499593165174939;12.0
117122;Thalamus;0.9984545759801201;0.7093837383218087;8.54400374531753
117122;WhiteMatter;0.9556527742188186;0.6688934081624047;4.0
118528;Amygdala;0.9992245791465852;0.43342036553524804;13.341664064126334
118528;GreyMatter;0.9289631734458644;0.5740881907983173;2.23606797749979
118528;Hippocampus;0.9976590981579979;0.47567902509552823;12.569805089976535
118528;Thalamus;0.9985576273020991;0.737447281730628;8.366600265340756
118528;WhiteMatter;0.95473983633283;0.667509511643878;4.0
118730;Amygdala;0.9993775423504623;0.5397204227753154;10.954451150103322
118730;GreyMatter;0.9272028862669589;0.5684867765647356;2.0
118730;Hippocampus;0.9975764496145316;0.4220884527638053;11.575836902790225
118730;Thalamus;0.9984760161880486;0.7129675864614315;7.280109889280518
118730;WhiteMatter;0.9507073481932418;0.6263769675958285;4.0
118932;Amygdala;0.9992756437278343;0.48048941798941797;11.575836902790225
118932;GreyMatter;0.9313704707704838;0.5887011480674762;2.0
118932;Hippocampus;0.9977475101982193;0.4646448042519383;10.954451150103322
118932;Thalamus;0.9985456392288488;0.7373373581763297;7.0
118932;WhiteMatter;0.953087902892918;0.6631662583592663;3.7416573867739413
120111;Amygdala;0.9992281525145733;0.47375039295818927;9.433981132056603
120111;GreyMatter;0.9316818148651878;0.5624098321197739;2.23606797749979
120111;Hippocampus;0.997726300530161;0.4605792107638034;9.9498743710662
120111;Thalamus;0.9984591867775241;0.7181206638409143;8.774964387392123
120111;WhiteMatter;0.9555771571413932;0.6904592657563118;3.605551275463989
122317;Amygdala;0.9993535662039617;0.5220726095108232;12.12435565298214
122317;GreyMatter;0.9326810899325659;0.5819950627675557;2.23606797749979
122317;Hippocampus;0.9975901667368084;0.41073341225548227;11.180339887498949
122317;Thalamus;0.9984086985459505;0.6931335719207771;7.810249675906654
122317;WhiteMatter;0.9574531753351387;0.6920559913366605;3.7416573867739413
122620;Amygdala;0.9994023253865087;0.557631601399198;12.206555615733702
122620;GreyMatter;0.9299123060914743;0.579262432057461;2.23606797749979
122620;Hippocampus;0.9977508530263373;0.4744667097608274;12.884098726725126
122620;Thalamus;0.9985282334686487;0.7294800627145218;6.557438524302
122620;WhiteMatter;0.9531594855226149;0.6367968080342579;4.123105625617661
123117;Amygdala;0.9993080345795973;0.49736247174076864;11.789826122551595
123117;GreyMatter;0.9346509378534824;0.5771182799548864;2.23606797749979
123117;Hippocampus;0.9976344303918867;0.4574344331641286;11.0
123117;Thalamus;0.9985283487385838;0.7292316175690865;6.48074069840786
123117;WhiteMatter;0.9540010713187768;0.6819506301148011;3.7416573867739413
123925;Amygdala;0.9992250402263256;0.47200188486609596;11.180339887498949
123925;GreyMatter;0.9340591420066813;0.5657906921317134;2.23606797749979
123925;Hippocampus;0.9976566774893608;0.4617828492758995;10.816653826391969
123925;Thalamus;0.9986762400653165;0.7604905314090264;7.0710678118654755
123925;WhiteMatter;0.9571172787442586;0.6921342884381124;4.0
124422;Amygdala;0.9992742604886131;0.5307096004770423;9.643650760992955
124422;GreyMatter;0.9305079058461337;0.5620522372338123;2.23606797749979
124422;Hippocampus;0.9976843422737848;0.4626741915639126;10.344080432788601
124422;Thalamus;0.9984927303286381;0.7214553510565781;7.0710678118654755
124422;WhiteMatter;0.9556247636245894;0.6492063202784714;4.123105625617661
