LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.999322743023316
Amygdala;ACURCY;STD;6.519327987661189e-05
Amygdala;DICE;MEAN;0.502785958668936
Amygdala;DICE;STD;0.03965048044731542
Amygdala;HDRFDST;MEAN;21.001117313515458
Amygdala;HDRFDST;STD;3.6678429061181657
GreyMatter;ACURCY;MEAN;0.9385943684412128
GreyMatter;ACURCY;STD;0.0018842833363250924
GreyMatter;DICE;MEAN;0.6262347978334983
GreyMatter;DICE;STD;0.013898936039416361
GreyMatter;HDRFDST;MEAN;2.5403874693402066
GreyMatter;HDRFDST;STD;0.38266369780691534
Hippocampus;ACURCY;MEAN;0.9980761793641688
Hippocampus;ACURCY;STD;0.0001701494357999457
Hippocampus;DICE;MEAN;0.5056663290024697
Hippocampus;DICE;STD;0.01849084967391224
Hippocampus;HDRFDST;MEAN;14.17498084826004
Hippocampus;HDRFDST;STD;0.8184851565306903
Thalamus;ACURCY;MEAN;0.9986603558682597
Thalamus;ACURCY;STD;0.00016378861445206797
Thalamus;DICE;MEAN;0.7455542694544277
Thalamus;DICE;STD;0.023062627842724233
Thalamus;HDRFDST;MEAN;16.073651256101254
Thalamus;HDRFDST;STD;2.457180355048164
WhiteMatter;ACURCY;MEAN;0.9660392869909004
WhiteMatter;ACURCY;STD;0.002111569384334746
WhiteMatter;DICE;MEAN;0.7461635022463466
WhiteMatter;DICE;STD;0.019501865669333363
WhiteMatter;HDRFDST;MEAN;3.6770282887795447
WhiteMatter;HDRFDST;STD;0.2818917585084335
