LABEL;METRIC;STATISTIC;VALUE
Amygdala;ACURCY;MEAN;0.9994464391906714
Amygdala;ACURCY;STD;5.9432289861203205e-05
Amygdala;DICE;MEAN;0.5464251610507986
Amygdala;DICE;STD;0.04288453643212541
Amygdala;HDRFDST;MEAN;12.601205062879826
Amygdala;HDRFDST;STD;1.1872788060316155
GreyMatter;ACURCY;MEAN;0.9549005110953652
GreyMatter;ACURCY;STD;0.0017265701143133845
GreyMatter;DICE;MEAN;0.7144252938941607
GreyMatter;DICE;STD;0.008439790982585715
GreyMatter;HDRFDST;MEAN;2.414218233270955
GreyMatter;HDRFDST;STD;0.5211049051218664
Hippocampus;ACURCY;MEAN;0.9985603937805415
Hippocampus;ACURCY;STD;0.00014382716252304913
Hippocampus;DICE;MEAN;0.5775583457245987
Hippocampus;DICE;STD;0.0195098749714332
Hippocampus;HDRFDST;MEAN;13.072975740940418
Hippocampus;HDRFDST;STD;0.9472619895168182
Thalamus;ACURCY;MEAN;0.9985964732702277
Thalamus;ACURCY;STD;0.0002034331939004619
Thalamus;DICE;MEAN;0.7374093879037324
Thalamus;DICE;STD;0.02754832998121113
Thalamus;HDRFDST;MEAN;18.856639748785504
Thalamus;HDRFDST;STD;3.054036244795151
WhiteMatter;ACURCY;MEAN;0.9765527926504811
WhiteMatter;ACURCY;STD;0.0014416233952110437
WhiteMatter;DICE;MEAN;0.8165830257458223
WhiteMatter;DICE;STD;0.01659216418206103
WhiteMatter;HDRFDST;MEAN;2.953410233768433
WhiteMatter;HDRFDST;STD;0.2781510220579656
