SUBJECT;LABEL;ACURCY;DICE;HDRFDST
117122;Amygdala;0.9991415847933135;0.3986109989501736;11.704699910719626
117122;GreyMatter;0.9184389131013387;0.4976207550250989;4.123105625617661
117122;Hippocampus;0.997891828156964;0.4714925588787747;10.63014581273465
117122;Thalamus;0.9985150926960473;0.71944420245666;4.58257569495584
117122;WhiteMatter;0.9469146215186607;0.6260979841502198;4.123105625617661
118528;Amygdala;0.9991514980077321;0.41126129728865074;12.206555615733702
118528;GreyMatter;0.9200559197509155;0.5179773812767235;3.605551275463989
118528;Hippocampus;0.9980521686366874;0.5273551130006713;11.224972160321824
118528;Thalamus;0.9986794676234994;0.7554957954496948;4.123105625617661
118528;WhiteMatter;0.9479460568979315;0.6339352229017967;4.0
118730;Amygdala;0.9992743757585482;0.5023322001739268;10.246950765959598
118730;GreyMatter;0.9178859632226661;0.5167606083814235;3.605551275463989
118730;Hippocampus;0.9977988053193386;0.4477093937991671;10.198039027185569
118730;Thalamus;0.9985337664255335;0.7211260194685609;4.47213595499958
118730;WhiteMatter;0.9451081110957802;0.6012284631649465;4.0
118932;Amygdala;0.9992380657289919;0.4669354838709677;11.0
118932;GreyMatter;0.921715576276479;0.5356606139502829;3.605551275463989
118932;Hippocampus;0.9979449675970449;0.4867572547213266;9.433981132056603
118932;Thalamus;0.9986160691591945;0.7471888818698673;4.123105625617661
118932;WhiteMatter;0.9477248538924755;0.635409866641798;3.7416573867739413
120111;Amygdala;0.9991677510685811;0.45028171158824426;8.660254037844387
120111;GreyMatter;0.9176068947097901;0.48916268831651466;4.123105625617661
120111;Hippocampus;0.997932403174119;0.4817843006962702;8.54400374531753
120111;Thalamus;0.9985623533694382;0.7321881039295683;4.123105625617661
120111;WhiteMatter;0.9477392626343629;0.6469205219361949;3.7416573867739413
122317;Amygdala;0.9992339160113283;0.4761154028062431;11.224972160321824
122317;GreyMatter;0.9195253322396522;0.5110362327417693;4.0
122317;Hippocampus;0.9977825522584896;0.429016651331216;10.0
122317;Thalamus;0.9984368244101147;0.6982890960464547;5.830951894845301
122317;WhiteMatter;0.9488810113415241;0.646206794215774;4.0
122620;Amygdala;0.9992614655258171;0.5046772323154233;11.445523142259598
122620;GreyMatter;0.9148110224339501;0.4918113048483044;5.0990195135927845
122620;Hippocampus;0.997891828156964;0.4874302850256439;11.045361017187261
122620;Thalamus;0.9986118041715959;0.7421696032884455;4.242640687119285
122620;WhiteMatter;0.9449139965250726;0.5999911274128624;5.0990195135927845
123117;Amygdala;0.999240486397629;0.4747708250298924;11.180339887498949
123117;GreyMatter;0.920705926914942;0.5156340105829792;4.123105625617661
123117;Hippocampus;0.9979400109898356;0.48862563310155377;10.0
123117;Thalamus;0.998608461343478;0.7398163713953188;4.123105625617661
123117;WhiteMatter;0.9494945932060592;0.6539689609883961;3.7416573867739413
123925;Amygdala;0.9992091329752819;0.4619245549368677;10.099504938362077
123925;GreyMatter;0.9196580079349518;0.4973997092520162;4.242640687119285
123925;Hippocampus;0.9979656009154277;0.49613155565706457;9.219544457292887
123925;Thalamus;0.9987651131852783;0.7749511585404282;4.123105625617661
123925;WhiteMatter;0.9501179730150776;0.6541936731508866;4.0
124422;Amygdala;0.9993035390521284;0.5380027527144824;8.602325267042627
124422;GreyMatter;0.9170623595363797;0.48889214074738124;4.123105625617661
124422;Hippocampus;0.9979320573643138;0.4864013741769253;8.306623862918075
124422;Thalamus;0.9985643129583349;0.7331662274782013;4.898979485566356
124422;WhiteMatter;0.9450251167425086;0.5984587419205191;4.123105625617661
